time,equity
2026-03-23 17:42:41.637423,BTCUSDT,50.0
2026-03-23 17:43:03.667854,BTCUSDT,100.0
2026-03-23 17:44:03.559791,BTCUSDT,150.0
2026-03-23 17:45:01.666775,BTCUSDT,200.0
2026-03-23 17:46:03.446939,BTCUSDT,250.0
2026-03-23 17:47:03.343181,BTCUSDT,300.0
2026-03-23 17:48:03.867215,BTCUSDT,350.0
2026-03-23 17:49:04.108761,BTCUSDT,400.0
2026-03-23 17:50:01.493552,BTCUSDT,450.00000000000006
2026-03-23 17:51:03.648674,BTCUSDT,500.0000000000001
2026-03-23 17:52:03.598766,BTCUSDT,550.0000000000001
2026-03-23 17:53:03.697274,BTCUSDT,600.0000000000002
2026-03-23 17:54:03.588053,BTCUSDT,650.0000000000002
2026-03-23 17:55:01.401238,BTCUSDT,700.0000000000002
2026-03-23 17:56:03.599295,BTCUSDT,750.0000000000003
2026-03-23 17:57:03.742127,BTCUSDT,800.0000000000003
2026-03-23 17:58:03.810532,BTCUSDT,850.0000000000005
2026-03-23 17:59:03.590282,BTCUSDT,900.0000000000005
