time,strategy,reason,price
2026-03-23 17:42:41.731989,BTCUSDT,BUY,0.001,50000
2026-03-23 17:43:03.716849,BTCUSDT,BUY,0.001,50000
2026-03-23 17:44:03.634335,BTCUSDT,BUY,0.001,50000
2026-03-23 17:45:01.741863,BTCUSDT,BUY,0.001,50000
2026-03-23 17:46:03.496479,BTCUSDT,BUY,0.001,50000
2026-03-23 17:47:03.492757,BTCUSDT,BUY,0.001,50000
2026-03-23 17:48:03.919325,BTCUSDT,BUY,0.001,50000
2026-03-23 17:49:04.241495,BTCUSDT,BUY,0.001,50000
2026-03-23 17:50:01.538757,BTCUSDT,BUY,0.001,50000
2026-03-23 17:51:03.712296,BTCUSDT,BUY,0.001,50000
2026-03-23 17:52:03.736430,BTCUSDT,BUY,0.001,50000
2026-03-23 17:53:03.754132,BTCUSDT,BUY,0.001,50000
2026-03-23 17:54:03.630063,BTCUSDT,BUY,0.001,50000
2026-03-23 17:55:01.440519,BTCUSDT,BUY,0.001,50000
2026-03-23 17:56:03.639465,BTCUSDT,BUY,0.001,50000
2026-03-23 17:57:03.785837,BTCUSDT,BUY,0.001,50000
2026-03-23 17:58:03.866539,BTCUSDT,BUY,0.001,50000
2026-03-23 17:59:03.646181,BTCUSDT,BUY,0.001,50000
