time,strategy,type,entry,sl,tp
2026-03-23 17:42:41.752569,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:43:03.725851,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:44:03.659343,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:45:01.757872,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:46:03.508666,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:47:03.525770,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:48:03.940773,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:49:04.272700,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:50:01.549903,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:51:03.723323,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:52:03.780432,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:53:03.770122,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:54:03.646730,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:55:01.450515,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:56:03.646466,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:57:03.797981,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:58:03.879076,BTCUSDT,BUY,0.001,50000,skipped
2026-03-23 17:59:03.655698,BTCUSDT,BUY,0.001,50000,skipped
